name,latitude,longitude
Intermoda,-6.319902912486388,106.64371452384238
Cosmo,-6.312098624472068,106.64866097703134
Verdant View,-6.3135382058171885,106.64862335719445
Eternity,-6.314804674128097,106.64629166413174
Simplicity 2,-6.313048540439234,106.6425585810072
Edutown 1,-6.3024419386956625,106.64175422053961
Edutown 2,-6.301401045958158,106.64161410520205
ICE 1,-6.297305991629695,106.63663993540509
ICE 2,-6.301798026906297,106.63537576609392
ICE Business Park,-6.303322716671507,106.63447285075002 
ICE 6,-6.299214743448269,106.63501661265211
ICE 5,-6.296908022160658,106.63614993540504
GOP 1,-6.301333338511644,106.6491341047173
SML Plaza,-6.3018206829147045,106.65107827402896
The Breeze,-6.301369321397565,106.65315717850528
CBD Timur 1,-6.302837404339348,106.65015285074993
CBD Timur 2,-6.301030700563775,106.64876966575737
GOP 2,-6.301030700563775,106.64876966575737
Nava Park 1,-6.299573087873732,106.64984707200264
SWA 2,-6.299630155562472,106.66243293720618
Giant,-6.299347597253314,106.6666351301771
Eka Hospital 1,-6.299065485207059,106.67031394722062
Puspita Loka,-6.295377145696457,106.67766489040433
Polsek Serpong,-6.29603586772109,106.68131227661276
Ruko Madrid,-6.30196884684132,106.6843857194694
Pasar Modern Timur,-6.305348912751656,106.68582347971999
Griya Loka 1,-6.304835825560039,106.68239886809873
Sektor 1.3,-6.3057778200200305,106.67991191028288
Griya Loka 2,-6.304961931657671,106.68151702006185
Santa Ursula 1,-6.302771931151865,106.6846528507499
Santa Ursula 2,-6.300150681430886,106.68316410471716
Sentra Onderdil,-6.296683334763473,106.6812441047167
Autopart,-6.295531407562985,106.67815419672414
Eka Hospital 2,-6.299377523498342,106.67009430185223
East Business District,-6.299293336866941,106.6669586814378
SWA 1,-6.299345368339194,106.6627761735028
Greencove,-6.2993814628841855,106.65987993540543
AEON Mall 1,-6.303120040327548,106.64347755092595
CBD Barat 2,-6.302221368040868,106.64205317791004
Simplicity 1,-6.312784863402183,106.64423142592663
Greenwich Park Office,-6.276622057947269,106.63404
De Maja,-6.280957532704141,106.63961596488363
De Heliconia 2,-6.283308041078943,106.64115927116399
De Nara,-6.285010028454532,106.64400801314942 
De Park 2,-6.286975378906274,106.64901655547753 
Nava Park 2,-6.290774052160064,106.64982436896942 
Giardina,-6.291448715328519,106.64828215809898 
Collinare,-6.2906680437956,106.64538437301604 
Foglio,-6.293770702497992,106.64307050539043 
Studento 2,-6.295336698270585,106.642156093254 
Albera,-6.296627753866824,106.64468911954826 
Foresta 1,-6.296720702463259,106.647792186508 
Simpang Foresta,-6.299027376515015,106.6479729112976 
Allevare,-6.297092109712094,106.64701553315535 
Fiore,-6.296699551490208,106.64459637983225 
Studento 1,-6.29562483743795,106.64207466523365 
Naturale,-6.293753267157416,106.64283525450247 
Fresco,-6.290917364823557,106.64513283298477 
Primavera,-6.291167379758763,106.64836291534402 
Foresta 2,-6.290166708825742,106.64961926711759 
FBL 5,-6.28803670795394,106.64433874198559 
Courts Mega Store,-6.286230035126002,106.63887072883601 
Q BIG 1,-6.284470858067212,106.63834676447388 
Lulu,-6.2806509823429675,106.6363809368485 
Greenwich Park 1,-6.27722670353427,106.63519582664144 
